parents,has_nurs,form,children
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,1
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,2
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,3
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,complete,more
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,1
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,2
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,3
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,completed,more
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
usual,proper,incomplete,1
