parents,has_nurs,form,children,housing,finance
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,convenient
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,convenient,inconv
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,convenient
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,less_conv,inconv
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,convenient
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,1,critical,inconv
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,convenient
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,convenient,inconv
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,convenient
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,less_conv,inconv
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,convenient
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,2,critical,inconv
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,convenient
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,convenient,inconv
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,convenient
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,less_conv,inconv
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,convenient
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,3,critical,inconv
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,convenient
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,convenient,inconv
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,convenient
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,less_conv,inconv
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,convenient
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,complete,more,critical,inconv
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,convenient
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,convenient,inconv
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,convenient
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,less_conv,inconv
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,convenient
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,1,critical,inconv
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,convenient
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,convenient,inconv
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,convenient
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,less_conv,inconv
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,convenient
usual,proper,completed,2,critical,inconv
usual,proper,completed,2,critical,inconv
